Date,Open,High,Low,Close,Adj Close,Volume
2014-02-01,322.23999,338.589996,315.609985,338.019989,338.019989,5391112100
2014-03-01,335.820007,338.899994,320.230011,334.309998,334.309998,7557556000
2014-04-01,334.980011,339.859985,325.5,337.890015,337.890015,6260120300
2014-05-01,337.700012,344.970001,334.549988,344.23999,344.23999,5664157800
2014-06-01,344.700012,349.709991,340.380005,341.859985,341.859985,5109740500
2014-07-01,342.359985,348.950012,334.579987,335.98999,335.98999,6041303100
2014-08-01,335.799988,343.98999,322.399994,342,342,5061411200
2014-09-01,342.410004,350.850006,339.089996,343.079987,343.079987,5715514200
2014-10-01,342.700012,343.649994,302.480011,336.799988,336.799988,8068259800
2014-11-01,336.76001,347.959991,330.410004,347.25,347.25,5783571900
2014-12-01,345.540009,350.98999,318.950012,342.540009,342.540009,5601864000
2015-01-01,343.950012,372.779999,330.850006,367.049988,367.049988,7130308000
2015-02-01,366.920013,392.23999,364.26001,392.209991,392.209991,6455256800
2015-03-01,391.820007,404.51001,386.850006,397.299988,397.299988,6784088400
2015-04-01,396.390015,415.179993,393.459991,395.790009,395.790009,5447295400
2015-05-01,395.26001,409.480011,381.850006,399.869995,399.869995,5530892100
2015-06-01,401.079987,403.440002,378.070007,381.309998,381.309998,6016609900
2015-07-01,382.76001,408.730011,371.329987,396.369995,396.369995,5667279400
2015-08-01,397.350006,404.040009,331.980011,362.790009,362.790009,5598217400
2015-09-01,359.959991,368.290009,335.440002,347.769989,347.769989,5920225300
2015-10-01,349.730011,378.570007,343.209991,375.470001,375.470001,5810022700
2015-11-01,374.290009,386.320007,366.480011,385.429993,385.429993,5156214200
2015-12-01,386.359985,387.429993,349.459991,365.809998,365.809998,4829569500
2016-01-01,365.480011,365.480011,320.459991,342.269989,342.269989,6170797300
2016-02-01,343.51001,344.079987,302.589996,333.920013,333.920013,7243086800
2016-03-01,333.76001,347.640015,332.410004,337.540009,337.540009,6569684600
2016-04-01,335.880005,351.51001,327.079987,341.480011,341.480011,6047662900
2016-05-01,341.559998,351.140015,328.640015,347.450012,347.450012,5814206300
2016-06-01,346.920013,348.160004,307.809998,329.880005,329.880005,8798906100
2016-07-01,330.51001,344.019989,317.23999,341.890015,341.890015,6441906800
2016-08-01,342.660004,347.540009,334.200012,343.529999,343.529999,5162109900
2016-09-01,344.209991,351.769989,336.73999,342.920013,342.920013,5715861400
2016-10-01,342.179993,347.290009,333.709991,338.970001,338.970001,5284539900
2016-11-01,340.040009,344.299988,327.019989,341.98999,341.98999,6189735400
2016-12-01,342.119995,361.660004,336.359985,361.420013,361.420013,5481488800
2017-01-01,361.23999,368.850006,359.920013,360.119995,360.119995,5108929600
2017-02-01,361.190002,375.429993,361.190002,370.23999,370.23999,4727016300
2017-03-01,371.519989,381.5,371.079987,381.140015,381.140015,5731696800
2017-04-01,382.190002,388.880005,376.230011,387.089996,387.089996,4559447300
2017-05-01,386.880005,396.549988,386.459991,389.98999,389.98999,5776592600
2017-06-01,389.549988,394.679993,379.040009,379.369995,379.369995,5288574400
2017-07-01,379.959991,387.890015,377.23999,377.850006,377.850006,4136701600
2017-08-01,378.23999,383.230011,365.98999,373.880005,373.880005,3806938800
2017-09-01,374.559998,388.160004,371.619995,388.160004,388.160004,3962271900
2017-10-01,388.429993,395.529999,386.440002,395.220001,395.220001,4396511200
2017-11-01,395.910004,398.049988,379.940002,386.690002,386.690002,4558362700
2017-12-01,386.720001,393.399994,383,389.179993,389.179993,3765308000
2018-01-01,389.149994,403.720001,386.779999,395.459991,395.459991,4414670700
2018-02-01,396.429993,398.5,367.5,379.630005,379.630005,4563697300
2018-03-01,378.649994,380.109985,362.040009,370.869995,370.869995,4761109700
2018-04-01,369.709991,385.600006,364.359985,385.320007,385.320007,4001420700
2018-05-01,385.420013,397.859985,382.140015,383.059998,383.059998,5329248500
2018-06-01,383.350006,393.959991,374.380005,379.929993,379.929993,4898417700
2018-07-01,378.589996,392.690002,375.220001,391.609985,391.609985,3686458400
2018-08-01,391.809998,392.26001,378.730011,382.26001,382.26001,3675091700
2018-09-01,381.920013,386.619995,371.890015,383.179993,383.179993,3756703600
2018-10-01,383.179993,384.829987,348.440002,361.609985,361.609985,4636643000
2018-11-01,361.730011,369.119995,349.290009,357.48999,357.48999,4369953900
2018-12-01,359.559998,364.890015,327.339996,337.649994,337.649994,4010016100
2019-01-01,335.859985,360.51001,331.799988,358.670013,358.670013,3935024300
2019-02-01,359.019989,374.109985,357.309998,372.799988,372.799988,3844484400
2019-03-01,373.480011,385.329987,369.75,379.089996,379.089996,4272524500
2019-04-01,379.720001,392.220001,379.720001,391.350006,391.350006,3655958900
2019-05-01,391.459991,391.779999,366.640015,369.059998,369.059998,4370401300
2019-06-01,368.790009,387.869995,365.769989,384.869995,384.869995,3822333900
2019-07-01,385.339996,395.100006,384.459991,385.769989,385.769989,3994185300
2019-08-01,384.929993,387.920013,361.070007,379.480011,379.480011,4371274100
2019-09-01,379.880005,393.670013,378.149994,393.149994,393.149994,4167228400
2019-10-01,393.350006,399.880005,374.660004,396.75,396.75,4634906100
2019-11-01,397.339996,410.390015,397.339996,407.429993,407.429993,3914857000
2019-12-01,407.480011,420.720001,397.179993,415.839996,415.839996,3687903800
