Date,Open,High,Low,Close,Adj Close,Volume
2014-02-01,14788.55957,15094.54004,13995.86035,14841.07031,14841.07031,3390300000
2014-03-01,14666.92969,15312.59961,14203.20996,14827.83008,14827.83008,3011800000
2014-04-01,14870.50977,15164.38965,13885.11035,14304.11035,14304.11035,2575500000
2014-05-01,14341.08984,14744.16016,13964.42969,14632.37988,14632.37988,2560200000
2014-06-01,14777.50977,15442.66992,14777.50977,15162.09961,15162.09961,2715300000
2014-07-01,15179.63965,15759.66016,15101.49023,15620.76953,15620.76953,2467400000
2014-08-01,15511.54004,15628.78027,14753.83984,15424.58984,15424.58984,2300800000
2014-09-01,15454.58984,16374.13965,15440.99023,16173.51953,16173.51953,2530100000
2014-10-01,16173.38965,16533.91016,14529.03027,16413.75977,16413.75977,3436700000
2014-11-01,16732.84961,17520.53906,16713.36914,17459.84961,17459.84961,3155400000
2014-12-01,17475.09961,18030.83008,16672.93945,17450.76953,17450.76953,2962900000
2015-01-01,17325.67969,17850.58984,16592.57031,17674.39063,17674.39063,2691500000
2015-02-01,17536.60938,18865.39063,17271.86914,18797.93945,18797.93945,2975400000
2015-03-01,18869.40039,19778.59961,18577.06055,19206.99023,19206.99023,3191800000
2015-04-01,19129.75,20252.11914,18927.94922,19520.00977,19520.00977,3047400000
2015-05-01,19510.84961,20655.33008,19257.84961,20563.15039,20563.15039,3291500000
2015-06-01,20444.53906,20952.71094,19990.55078,20235.73047,20235.73047,3459500000
2015-07-01,20291.05078,20850,19115.19922,20585.24023,20585.24023,3318200000
2015-08-01,20540.21094,20946.92969,17714.30078,18890.48047,18890.48047,3723100000
2015-09-01,18763.7207,18777.4707,16901.49023,17388.15039,17388.15039,3132300000
2015-10-01,17479.9707,19202.33984,17389.57031,19083.09961,19083.09961,2979600000
2015-11-01,18827.10938,19994.05078,18641.2207,19747.4707,19747.4707,2559500000
2015-12-01,19799.08008,20012.40039,18562.50977,19033.71094,19033.71094,2749100000
2016-01-01,18818.58008,18951.11914,16017.25977,17518.30078,17518.30078,3235900000
2016-02-01,17699.59961,17905.36914,14865.76953,16026.75977,16026.75977,4174100000
2016-03-01,16013,17291.34961,15857.37012,16758.66992,16758.66992,3307500000
2016-04-01,16719.56055,17613.56055,15471.79981,16666.05078,16666.05078,3230600000
2016-05-01,16357.09961,17251.35938,15975.46973,17234.98047,17234.98047,2563800000
2016-06-01,17097.2207,17145.94922,14864.00977,15575.91992,15575.91992,3093000000
2016-07-01,15698.01953,16938.96094,15106.51953,16569.26953,16569.26953,2816900000
2016-08-01,16415.31055,16943.66992,15921.04004,16887.40039,16887.40039,2675600000
2016-09-01,16885.16016,17156.35938,16285.41016,16449.83984,16449.83984,2493200000
2016-10-01,16566.0293,17461.0293,16554.83008,17425.01953,17425.01953,2222800000
2016-11-01,17380.53906,18482.93945,16111.80957,18308.48047,18308.48047,3226000000
2016-12-01,18535.24023,19592.90039,18227.39063,19114.36914,19114.36914,3038700000
2017-01-01,19298.67969,19615.40039,18650.33008,19041.33984,19041.33984,2440400000
2017-02-01,18926.9707,19519.43945,18805.32031,19118.99023,19118.99023,2606300000
2017-03-01,19226.93945,19668.00977,18909.25977,18909.25977,18909.25977,2646000000
2017-04-01,18988,19289.42969,18224.67969,19196.74023,19196.74023,2178500000
2017-05-01,19154.0293,19998.49023,19144.61914,19650.57031,19650.57031,2230200000
2017-06-01,19692.16016,20318.10938,19686.32031,20033.42969,20033.42969,2326500000
2017-07-01,20056.32031,20200.88086,19856.65039,19925.17969,19925.17969,1790600000
2017-08-01,19907.08008,20113.73047,19280.01953,19646.24023,19646.24023,1876000000
2017-09-01,19733.57031,20481.26953,19239.51953,20356.2793,20356.2793,1807500000
2017-10-01,20400.50977,22086.88086,20363.2793,22011.60938,22011.60938,1872800000
2017-11-01,22144.91992,23382.15039,21972.33984,22724.96094,22724.96094,1981200000
2017-12-01,22916.92969,22994.33008,22119.21094,22764.93945,22764.93945,1539000000
2018-01-01,23073.73047,24129.33984,23065.19922,23098.28906,23098.28906,1606300000
2018-02-01,23276.09961,23492.76953,20950.15039,22068.24023,22068.24023,1840200000
2018-03-01,21901.13086,21971.16016,20347.49023,21454.30078,21454.30078,1732700000
2018-04-01,21441.57031,22495.56055,21056.01953,22467.86914,22467.86914,1386000000
2018-05-01,22453.41992,23050.39063,21931.65039,22201.82031,22201.82031,1607600000
2018-06-01,22126.25,23011.57031,22038.40039,22304.50977,22304.50977,1513500000
2018-07-01,22233.80078,22949.32031,21462.94922,22553.7207,22553.7207,1523800000
2018-08-01,22642.17969,23032.16992,21851.32031,22865.15039,22865.15039,1515200000
2018-09-01,22819.16992,24286.09961,22172.90039,24120.03906,24120.03906,1447600000
2018-10-01,24173.36914,24448.07031,20971.92969,21920.46094,21920.46094,1822800000
2018-11-01,21906.41016,22583.42969,21243.38086,22351.06055,22351.06055,1534700000
2018-12-01,22629.39063,22698.78906,18948.58008,20014.76953,20014.76953,1529200000
